Loaded 78 scientists.
丹尼利和戴维森.md | Name: 丹尼利和戴维森 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
克劳德.md | Name: 阿尔伯特·克劳德 (Albert Claude) | Book: 必修一 | Nat: 比利时/美国 | Era: 20世纪40-50年代 | Identity: 
克里克.md | Name: 弗朗西斯·克里克 (Francis Crick) | Book: 必修二 | Nat: 英国 | Era: 20世纪中叶（1916-2004年） | Identity: 分子生物学的“总设计师”，他不仅参与拼出了DNA的双螺旋，还为整个生命科学确立了“信息流”的顶层架构。
内格里.md | Name: 内格里 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
切尔马克.md | Name: 切尔马克 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
切赫.md | Name: 切赫 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
列文虎克.md | Name: 安东尼·范·列文虎克 (Antonie van Leeuwenhoek) | Book: 必修一 | Nat: 荷兰 | Era: 17世纪中叶（1632-1723年） | Identity: 显微镜下的“第一人”，他用磨制的镜片叩开了微观世界的大门，让人类第一次看清了那群被称为“微小动物”的隐形居民。
华莱士.md | Name: 华莱士 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
博耶.md | Name: 博耶 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
卡尔文.md | Name: 卡尔文 (Melvin Calvin) | Book: 必修一 | Nat: 美国 | Era: 20世纪50年代 | Identity: 用放射性碳-14追踪CO₂的每一步去向，绘制出暗反应的完整地图——卡尔文循环。
卢里亚.md | Name: 萨尔瓦多·卢里亚 (Salvador Luria) | Book: 必修二 | Nat: 意大利/美国 | Era: 20世纪中叶（1912-1991年） | Identity: 细菌遗传学的拓荒者，噬菌体小组的“三巨头”之一。他用数学的严谨证明了生命的变异并非环境的奴隶，而是随机演化的杰作。
哈伯兰特.md | Name: 哈伯兰特 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
坎农.md | Name: 沃尔特·坎农 (Walter Cannon) | Book: 选必一 | Nat: 美国 | Era: 20世纪初（1871-1945年） | Identity: 稳态学说的命名者，他用“稳态”一词概括了生命的智慧，并揭示了身体在恐惧与愤怒下的应急本能。
坦斯利.md | Name: 坦斯利 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
奥德姆.md | Name: 奥德姆 (Eugene Odum) | Book: 选必二 | Nat: 美国 | Era: 20世纪中叶 | Identity: 
奥特曼.md | Name: 西德尼·奥特曼 (Sidney Altman) | Book: 必修一 | Nat: 加拿大/美国 | Era: 20世纪70-80年代（1939-2022年） | Identity: 核酶研究的并蒂莲。他与切赫共同揭开了RNA作为生物催化剂的真相，为我们理解早期生命的运作模式打开了新的视野。
威尔穆特.md | Name: 威尔穆特 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
威尔金斯.md | Name: 威尔金斯 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
孟德尔.md | Name: 孟德尔 (Gregor Mendel) | Book: 必修二 | Nat: 奥地利 | Era: 19世纪中叶（1856-1866年） | Identity: 遗传学之父，用豌豆和数学，在无人理解的时代独自点亮了遗传学的第一颗星。
富兰克林.md | Name: 罗莎琳德·富兰克林 (Rosalind Franklin) | Book: 必修二 | Nat: 英国 | Era: 20世纪50年代 | Identity: DNA双螺旋结构背后的“暗物质”，她拍摄的“照片51号”是揭开生命密码最关键的物理证据，却在生前未获得应有的荣耀。
尼伦伯格和马太.md | Name: 尼伦伯格和马太 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
巴斯德.md | Name: 巴斯德 (Louis Pasteur) | Book: 必修一/选必三 | Nat: 法国 | Era: 19世纪 | Identity: 微生物学之父，他用一尊鹅颈瓶否定了“无中生有”，用疫苗和消毒法守卫了人类文明。
巴甫洛夫.md | Name: 巴甫洛夫 (Ivan Pavlov) | Book: 选必一 | Nat: 俄国 | Era: 19世纪末至20世纪初 | Identity: 一只狗、一个铃铛、一滴唾液——他用最简单的材料，揭示了大脑最深处的学习逻辑。
希尔.md | Name: 希尔 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
康拉特.md | Name: 康拉特 | Book:  | Nat: 未知 | Era: 未知 | Identity: 
